"@id","State__@id","State__City__@id","State__City__Station__@id","State__City__Station__@lastupdate","State__City__Station__@latitude","State__City__Station__@longitude","State__City__Station__Pollutant_Index__@id","State__City__Station__Pollutant_Index__@Min","State__City__Station__Pollutant_Index__@Max","State__City__Station__Pollutant_Index__@Avg","State__City__Station__Air_Quality_Index__@Value","State__City__Station__Air_Quality_Index__@Predominant_Parameter"
"","","","","","","","NH3","NA","NA","NA","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","CO","NA","NA","NA","",""
"","","","","","","","OZONE","NA","NA","NA","",""
"","","Rajgir","Dangi Tola, Rajgir - BSPCB","20-11-2023 12:00:00","25.0328","85.41948","PM2.5","15","325","179","179","PM2.5"
"","","","","","","","PM10","46","209","120","",""
"","","","","","","","NO2","8","8","8","",""
"","","","","","","","NH3","1","2","1","",""
"","","","","","","","SO2","4","4","4","",""
"","","","","","","","CO","10","11","10","",""
"","","","","","","","OZONE","21","24","23","",""
"","","Saharsa","Police Line, Saharsa - BSPCB","20-11-2023 12:00:00","25.892357","86.590325","PM2.5","15","385","219","219","PM2.5"
"","","","","","","","PM10","58","336","153","",""
"","","","","","","","NO2","7","8","7","",""
"","","","","","","","NH3","9","9","9","",""
"","","","","","","","SO2","2","2","2","",""
"","","","","","","","CO","12","16","15","",""
"","","","","","","","OZONE","3","79","20","",""
"","","Samastipur","DM Office_Kasipur, Samastipur - BSPCB","20-11-2023 12:00:00","25.859655","85.77944","PM2.5","43","312","169","169","PM2.5"
"","","","","","","","PM10","41","165","92","",""
"","","","","","","","NO2","2","6","4","",""
"","","","","","","","NH3","2","4","3","",""
"","","","","","","","SO2","14","17","16","",""
"","","","","","","","CO","30","38","35","",""
"","","","","","","","OZONE","6","9","8","",""
"","","Sasaram","Dada Peer, Sasaram - BSPCB","20-11-2023 12:00:00","24.952822","84.002396","PM2.5","21","164","59","62","PM10"
"","","","","","","","PM10","22","129","62","",""
"","","","","","","","NO2","7","22","13","",""
"","","","","","","","NH3","3","8","5","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","CO","14","46","29","",""
"","","","","","","","OZONE","4","5","4","",""
"","","Siwan","Chitragupta Nagar, Siwan - BSPCB","20-11-2023 12:00:00","26.2271665","84.3570427","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","32","101","75","",""
"","","","","","","","NH3","2","9","7","",""
"","","","","","","","SO2","2","67","22","",""
"","","","","","","","CO","83","149","130","",""
"","","","","","","","OZONE","15","109","35","",""
"","Chandigarh","Chandigarh","Sector 22, Chandigarh - CPCC","20-11-2023 12:00:00","30.735567","76.775714","PM2.5","47","302","107","134","PM10"
"","","","","","","","PM10","80","285","134","",""
